0,1,2,3,4,5,6
1,viernes,0 days 20:10:17,2020-12-11,554466,1,Ingreso
10,sábado,0 days 20:55:20,2020-12-12,554466,1,Salida
11,martes,0 days 11:24:31,2020-12-15,554466,1,Ingreso
12,martes,0 days 11:24:33,2020-12-15,554466,1,Salida
13,martes,0 days 12:09:33,2020-12-15,123,1,Ingreso
14,martes,0 days 12:09:34,2020-12-15,123,1,Salida
15,miércoles,0 days 10:09:20,2021-04-28,123,1,Ingreso
16,miércoles,0 days 10:09:23,2021-04-28,123,1,Salida
17,jueves,0 days 12:12:48,2021-06-03,123,1,Ingreso
18,sábado,0 days 13:13:51,2021-06-19,123,1,Ingreso
19,sábado,0 days 13:14:03,2021-06-19,123,1,Ingreso
20,sábado,0 days 13:14:04,2021-06-19,123,1,Ingreso
